build_id,role,rom_offset,compressed_bytes,pixel_sha1,asset_prefix,dedup_group
aka-jp-rev0,front,0x242E1,520,3919861689f56fe42cb7e8115798ec77dc80d861,gfx/pokemon/front/rg/kangaskhan,rg-front-kangaskhan
aka-jp-reva,front,0x242E1,520,3919861689f56fe42cb7e8115798ec77dc80d861,gfx/pokemon/front/rg/kangaskhan,rg-front-kangaskhan
red-en-ue,front,0x2429A,524,1528dfaf6cdc374631a86b1d064e84e250c318fd,gfx/pokemon/front/rb/kangaskhan,rb-front-kangaskhan
red-de,front,0x2429A,524,1528dfaf6cdc374631a86b1d064e84e250c318fd,gfx/pokemon/front/rb/kangaskhan,rb-front-kangaskhan
red-it,front,0x2429A,524,1528dfaf6cdc374631a86b1d064e84e250c318fd,gfx/pokemon/front/rb/kangaskhan,rb-front-kangaskhan
red-es,front,0x2429A,524,1528dfaf6cdc374631a86b1d064e84e250c318fd,gfx/pokemon/front/rb/kangaskhan,rb-front-kangaskhan
red-fr,front,0x2429A,524,1528dfaf6cdc374631a86b1d064e84e250c318fd,gfx/pokemon/front/rb/kangaskhan,rb-front-kangaskhan
aka-jp-rev0,back,0x244E9,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
aka-jp-reva,back,0x244E9,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
red-en-ue,back,0x244A6,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
red-de,back,0x244A6,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
red-it,back,0x244A6,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
red-es,back,0x244A6,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
red-fr,back,0x244A6,150,ce4721cc4f3f6c20e2bb75d975208ca61ef5689d,gfx/pokemon/back/shared/kangaskhan,shared-back-kangaskhan
