build_id,role,rom_offset,compressed_bytes,pixel_sha1,asset_prefix,dedup_group
aka-jp-rev0,front,0x2457F,235,ea506db6f5d5d515e780edf829989c78c5cda939,gfx/pokemon/front/rg/nidoran_m,rg-front-nidoran_m
aka-jp-reva,front,0x2457F,235,ea506db6f5d5d515e780edf829989c78c5cda939,gfx/pokemon/front/rg/nidoran_m,rg-front-nidoran_m
red-en-ue,front,0x2453C,231,e3d5b07080f0fac65d907bc4aec27783c6915087,gfx/pokemon/front/rb/nidoran_m,rb-front-nidoran_m
red-de,front,0x2453C,231,e3d5b07080f0fac65d907bc4aec27783c6915087,gfx/pokemon/front/rb/nidoran_m,rb-front-nidoran_m
red-it,front,0x2453C,231,e3d5b07080f0fac65d907bc4aec27783c6915087,gfx/pokemon/front/rb/nidoran_m,rb-front-nidoran_m
red-es,front,0x2453C,231,e3d5b07080f0fac65d907bc4aec27783c6915087,gfx/pokemon/front/rb/nidoran_m,rb-front-nidoran_m
red-fr,front,0x2453C,231,e3d5b07080f0fac65d907bc4aec27783c6915087,gfx/pokemon/front/rb/nidoran_m,rb-front-nidoran_m
aka-jp-rev0,back,0x2466A,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
aka-jp-reva,back,0x2466A,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
red-en-ue,back,0x24623,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
red-de,back,0x24623,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
red-it,back,0x24623,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
red-es,back,0x24623,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
red-fr,back,0x24623,95,b806c7716e4154d931d06f77c0dfeabed78cc2bc,gfx/pokemon/back/shared/nidoran_m,shared-back-nidoran_m
